"Global coffee beauty products market statistics, 2018-2030 (US$M)"
"Year","Overall"
"2018","590.1"
"2019","617.1"
"2020","481.5"
"2021","505.6"
"2022","531.5"
"2023","559.3"
"2024","589.1"
"2025","621.1"
"2026","655.4"
"2027","692.1"
"2028","731.7"
"2029","774.1"
"2030","819.8"
